column,mean,std,min,max
X11,0.02727743902439024,0.08506084398757191,0.0,0.43658536585365854
X12,0.009790963224426403,0.024060199200384803,0.0,0.1550546278228122
X13,0.7172733486240961,2.975395826468329,0.0,29.766134585018015
band_offset_db_1,0.0018424929966989346,0.034590289413489746,-0.20464192916273127,0.1614838263973084
band_offset_db_2,0.0016881729101620912,0.020792033227255924,-0.19240261590598706,0.15009728782099074
band_offset_db_3,-0.00016221804375242898,0.006741312576872632,-0.04152190236090636,0.10329523748878433
band_offset_db_4,-0.002968470256942406,0.017641159392615496,-0.0857470896429593,0.17239774560964882
bias,0.20881334522670536,1.9646834137712663,-16.92749250914548,9.96267234043911
comp,-0.32544923566260164,3.0645487389561836,-18.371888749385334,22.717854410765085
compress_ratio,0.1999969512195122,6.089934254706767e-05,0.19878048780487806,0.2
compress_ratio_high,0.2,0.0,0.2,0.2
df,-20425000.0,391317095.6845611,-5350000000.0,2940000000.0
env_overrun_max,0.009790963224426403,0.024060199200384803,0.0,0.1550546278228122
env_overrun_mean,0.0008747235958830439,0.003628531495693084,0.0,0.03630016412807075
env_overrun_rate,0.02727743902439024,0.08506084398757191,0.0,0.43658536585365854
freq_shift_score,0.12628602463552385,0.18969314410505989,0.0009044753279594531,0.9272689633728092
gain,1.0210413977576187,0.197932782570696,-0.7099801974010678,2.0033573676412315
global_offset_db,6.661338147750939e-18,4.418129701766142e-16,-8.881784197001252e-16,8.881784197001252e-16
high_low_energy_ratio,5.33156394233555,17.817685260036484,0.0011120013097316262,272.50942507957416
mod_[RF板][Mixer1],0.012953424877763763,0.01545620861307615,0.0,0.14106998275366658
mod_[RF板][Mixer2],0.0,0.0,0.0,0.0
mod_[RF板][RF] 低频通路固定滤波/抑制网络,0.012741073650259435,0.015202828144009327,0.0,0.13875736008557368
mod_[RF板][RF] 步进衰减器/ATT,0.0,0.0,0.0,0.0
mod_[RF板][RF] 输入连接/匹配/保护,0.5594850666112992,0.27749920904220776,0.16622142722292196,1.0
mod_[RF板][YTF],0.0,0.0,0.0,0.0
mod_[数字中频板][ADC],0.03931332902816704,0.03784077939883128,0.0,0.09279451665348647
mod_[数字中频板][RBW],0.03628922679523112,0.0349299502143058,0.0,0.08565647691091058
mod_[数字中频板][VBW],0.03024102232935926,0.029108291845254826,0.0,0.07138039742575882
mod_[数字中频板][检波/对数],0.04233743126110296,0.04075160858335676,0.0,0.09993255639606234
mod_[时钟板][参考分配],0.010405210147711872,0.012415642984274283,0.0,0.11331851073655182
mod_[时钟板][参考域] 10MHz基准,0.010405210147711872,0.012415642984274283,0.0,0.11331851073655182
mod_[校准链路][校准源],0.032914571277147114,0.013373135229671429,0.0,0.062231796677227294
mod_[校准链路][校准表/存储],0.024685928457860332,0.010029851422253572,0.0,0.04667384750792047
mod_[校准链路][校准路径开关/耦合],0.06582914255429423,0.026746270459342858,0.0,0.12446359335445459
mod_中频放大器,0.06350614689165444,0.061127412875035134,0.0,0.14989883459409353
mod_前置放大器,0.0,0.0,0.0,0.0
mod_数字放大器,0.054433840192846666,0.052394925321458695,0.0,0.12848471536636585
mod_本振源(谐波发生器),0.004459375777590802,0.005320989850403264,0.0,0.048565076029950784
nonswitch_step_max,0.04192848072136604,0.017920889055732237,0.014332164552476101,0.172426532305904
nonswitch_step_ratio,0.0,0.0,0.0,0.0
offset_db,-0.00030767257339539447,0.033060590935704286,-0.09619029189495976,0.10210457695156094
offset_slope,-0.0010617785933192802,0.005869420682682883,-0.03420956836819768,0.03542880456275924
res_slope,-1.0617785933192802e-12,5.869420682682882e-12,-3.420956836819767e-11,3.5428804562759206e-11
ripple_hp,0.005812752762634808,0.006914053204753701,8.766594304006586e-05,0.06705704383911482
ripple_var,0.0006391204109563408,0.0017836765539948438,1.522352234033978e-06,0.014393016539204816
shape_rmse,0.019151912691500024,0.024336620978069306,0.0013145981973856468,0.12639853658591751
step_score,0.0,0.0,0.0,0.0
switch_step_err_max,0.0,0.0,0.0,0.0
switch_step_err_ratio,0.0,0.0,0.0,0.0
sys_max_prob,0.667586399154678,0.2417958597408896,0.35688236923624383,1.0
sys_overall_score,0.060181771704543426,0.056380755625584596,0.0,0.29033357030689155
sys_uncertainty,0.332413600845322,0.2417958597408896,0.0,0.6431176307637562
tail_asym,-0.006855928851354127,0.026799957907473648,-0.19029683939995037,0.16870124758678162
viol_energy_aligned,0.7172733486240961,2.975395826468329,0.0,29.766134585018015
viol_rate,0.02727743902439024,0.08506084398757191,0.0,0.43658536585365854
viol_rate_aligned,0.02727743902439024,0.08506084398757191,0.0,0.43658536585365854
